No,Kode,Saham,Papan Pencatatan
485,Saham_485,1.438.370.465,Pemantauan Khusus
486,Saham_486,56.780.478.486,Pemantauan Khusus
487,Saham_487,3.000.000.000,Pengembangan
488,Saham_488,937.500.000,Utama
489,Saham_489,3.803.526.210,Pengembangan
490,Saham_490,45.667.877.639,Utama
491,Saham_491,2.813.941.985,Pengembangan
492,Saham_492,15.000.000.000,Utama
493,Saham_493,9.843.750.000,Pengembangan
494,Saham_494,24.000.000.000,Utama
495,Saham_495,37.500.000.000,Pemantauan Khusus
496,Saham_496,1.829.800.000,Pengembangan
497,Saham_497,2.750.000.000,Pemantauan Khusus
498,Saham_498,1.475.363.179,Pengembangan
499,Saham_499,33.330.000.000,Pemantauan Khusus
500,Saham_500,8.215.366.379,Pengembangan
501,Saham_501,9.006.250.000,Pemantauan Khusus
502,Saham_502,2.387.922.900,Pengembangan
503,Saham_503,6.437.500.000,Utama
504,Saham_504,4.605.262.400,Utama
505,Saham_505,15.365.229.912,Pemantauan Khusus
506,Saham_506,9.677.752.680,Pengembangan
507,Saham_507,816.997.053,Pengembangan
508,Saham_508,3.800.000.310,Utama
509,Saham_509,11.004.929.322,Pemantauan Khusus
510,Saham_510,2.530.150.002,Pengembangan
511,Saham_511,7.250.000.000,Pengembangan
512,Saham_512,1.075.862.960,Pengembangan
513,Saham_513,124.835.258.434,Pemantauan Khusus
514,Saham_514,2.924.486.639,Pengembangan
515,Saham_515,25.250.000.000,Pemantauan Khusus
516,Saham_516,867.933.300,Utama
517,Saham_517,10.224.271.000,Pengembangan
518,Saham_518,9.572.000.000,Pengembangan
519,Saham_519,5.417.063.153,Utama
520,Saham_520,23.646.668.691,Utama
521,Saham_521,9.252.820.991,Pengembangan
522,Saham_522,7.500.000.000,Utama
523,Saham_523,1.000.000.000,Pengembangan
524,Saham_524,5.885.000.000,Pengembangan
525,Saham_525,5.284.811.100,Utama
526,Saham_526,1.166.666.700,Pemantauan Khusus
527,Saham_527,1.000.000.000,Pengembangan
528,Saham_528,1.400.000.000,Pemantauan Khusus
529,Saham_529,832.862.387,Pengembangan
530,Saham_530,2.032.540.000,Pemantauan Khusus
531,Saham_531,650.000.000,Pemantauan Khusus
532,Saham_532,550.000.000,Pengembangan
533,Saham_533,10.485.050.500,Pemantauan Khusus
534,Saham_534,1.899.852.850,Pengembangan
535,Saham_535,651.150.000,Pengembangan
536,Saham_536,7.626.663.000,Utama
537,Saham_537,2.700.000.000,Utama
538,Saham_538,3.393.434.905,Pengembangan
539,Saham_539,15.365.950.000,Utama
540,Saham_540,435.000.000,Pengembangan
541,Saham_541,3.021.875.000,Pengembangan
542,Saham_542,3.555.575.600,Utama
543,Saham_543,60.676.178.205,Utama
544,Saham_544,3.019.200.000,Pemantauan Khusus
545,Saham_545,421.640.000,Pengembangan
546,Saham_546,28.504.000.000,Utama
547,Saham_547,5.000.000.000,Pengembangan
548,Saham_548,1.818.384.820,Utama
549,Saham_549,16.198.599.990,Pengembangan
550,Saham_550,3.534.000.000,Pengembangan
551,Saham_551,8.318.823.600,Pemantauan Khusus
552,Saham_552,666.667.500,Pengembangan
553,Saham_553,3.554.445.700,Pengembangan
554,Saham_554,7.700.000.148,Pemantauan Khusus
555,Saham_555,10.887.566.758,Utama
556,Saham_556,9.350.000.000,Pemantauan Khusus
557,Saham_557,2.792.620.000,Pemantauan Khusus
558,Saham_558,2.724.036.581,Pengembangan
559,Saham_559,18.117.025.598,Utama
560,Saham_560,1.625.000.000,Pemantauan Khusus
561,Saham_561,5.405.188.966,Pengembangan
562,Saham_562,833.333.300,Pengembangan
563,Saham_563,1.497.576.771,Pengembangan
564,Saham_564,3.221.750.000,Pemantauan Khusus
565,Saham_565,9.942.500.000,Pengembangan
566,Saham_566,1.283.330.000,Pemantauan Khusus
567,Saham_567,36.897.901.455,Utama
568,Saham_568,7.500.000.000,Utama
569,Saham_569,1.912.774.405,Pengembangan
570,Saham_570,1.203.300.219,Pengembangan
571,Saham_571,1.375.000.000,Pengembangan
572,Saham_572,799.414.231,Pemantauan Khusus
573,Saham_573,1.146.170.959,Pemantauan Khusus
574,Saham_574,3.351.075.600,Pemantauan Khusus
575,Saham_575,1.428.571.400,Pengembangan
576,Saham_576,715.749.640,Pengembangan
577,Saham_577,3.232.122.640,Pengembangan
578,Saham_578,1.000.003.979,Pengembangan
579,Saham_579,870.171.478,Pengembangan
580,Saham_580,840.000.000,Pengembangan
581,Saham_581,650.000.000,Pemantauan Khusus
582,Saham_582,8.120.249.598,Pengembangan
583,Saham_583,2.010.526.400,Pemantauan Khusus
584,Saham_584,2.570.000.000,Pengembangan
585,Saham_585,8.001.111.504,Pengembangan
586,Saham_586,798.499.394,Pengembangan
587,Saham_587,3.559.455.924,Pemantauan Khusus
588,Saham_588,2.084.850.829,Pemantauan Khusus
589,Saham_589,2.433.379.958,Pemantauan Khusus
590,Saham_590,5.958.750.000,Pemantauan Khusus
591,Saham_591,8.388.870.206,Pemantauan Khusus
592,Saham_592,1.082.575.738,Pengembangan
593,Saham_593,1.304.272.051,Pengembangan
594,Saham_594,6.000.000.000,Utama
595,Saham_595,1.333.333.331,Pengembangan
596,Saham_596,1.359.934.021,Pengembangan
597,Saham_597,750.000.000,Pengembangan
598,Saham_598,500.000.000,Pengembangan
599,Saham_599,665.000.000,Pemantauan Khusus
600,Saham_600,940.720.000,Pengembangan
601,Saham_601,3.125.000.000,Pengembangan
602,Saham_602,42.197.950.841,Pemantauan Khusus
603,Saham_603,418.000.000,Pengembangan
604,Saham_604,1.800.000.000,Pemantauan Khusus
605,Saham_605,4.126.405.336,Pengembangan
606,Saham_606,2.100.000.000,Pengembangan
607,Saham_607,1.300.000.000,Pengembangan
608,Saham_608,10.546.185.701,Pemantauan Khusus
609,Saham_609,1.808.221.900,Pengembangan
610,Saham_610,2.000.000.000,Pemantauan Khusus
611,Saham_611,3.418.085.290,Pengembangan
612,Saham_612,1.524.680.000,Pengembangan
613,Saham_613,3.666.312.500,Utama
614,Saham_614,5.591.980.103,Pemantauan Khusus
615,Saham_615,1.666.666.500,Pengembangan
616,Saham_616,12.111.376.157,Pengembangan
617,Saham_617,1.000.000.000,Pengembangan
618,Saham_618,2.197.540.705,Pengembangan
619,Saham_619,2.463.338.474,Pengembangan
620,Saham_620,1.375.181.505,Pemantauan Khusus
621,Saham_621,1.600.000.000,Pengembangan
622,Saham_622,7.692.307.700,Pengembangan
623,Saham_623,481.000.000,Pemantauan Khusus
624,Saham_624,2.475.720.000,Pengembangan
625,Saham_625,1.109.953.847,Pengembangan
626,Saham_626,1.285.000.000,Utama
627,Saham_627,5.624.999.999,Utama
628,Saham_628,18.850.000.000,Utama
629,Saham_629,1.000.000.000,Pengembangan
630,Saham_630,2.125.000.000,Pengembangan
631,Saham_631,6.633.610.151,Pengembangan
632,Saham_632,9.412.000.000,Pengembangan
633,Saham_633,13.755.600.000,Pengembangan
634,Saham_634,4.156.572.300,Utama
635,Saham_635,1.500.000.000,Pengembangan
636,Saham_636,795.859.095,Akselerasi
637,Saham_637,18.197.283.760,Pengembangan
638,Saham_638,2.050.000.000,Utama
639,Saham_639,4.480.741.638,Pengembangan
640,Saham_640,2.222.222.400,Pengembangan
641,Saham_641,4.551.457.789,Pengembangan
642,Saham_642,9.468.359.000,Pengembangan
643,Saham_643,6.301.930.902,Pemantauan Khusus
644,Saham_644,878.187.500,Pengembangan
645,Saham_645,1.200.000.696,Pemantauan Khusus
646,Saham_646,833.333.000,Pengembangan
647,Saham_647,10.250.000.000,Utama
648,Saham_648,4.752.982.378,Pemantauan Khusus
649,Saham_649,7.150.002.603,Pemantauan Khusus
650,Saham_650,1.875.000.000,Pemantauan Khusus
651,Saham_651,1.250.000.000,Pengembangan
652,Saham_652,816.061.500,Pengembangan
653,Saham_653,4.800.016.020,Pengembangan
654,Saham_654,5.000.000.000,Pengembangan
655,Saham_655,1.431.125.517,Akselerasi
656,Saham_656,1.256.300.000,Pemantauan Khusus
657,Saham_657,3.303.400.000,Pemantauan Khusus
658,Saham_658,1.210.000.000,Pengembangan
659,Saham_659,5.737.848.882,Pengembangan
660,Saham_660,1.653.574.499,Akselerasi
661,Saham_661,771.178.020,Akselerasi
662,Saham_662,1.435.000.712,Pemantauan Khusus
663,Saham_663,15.586.909.438,Utama
664,Saham_664,1.510.200.000,Pengembangan
665,Saham_665,781.250.000,Utama
666,Saham_666,2.500.000.000,Pengembangan
667,Saham_667,3.637.976.068,Utama
668,Saham_668,800.000.000,Pengembangan
669,Saham_669,1.000.000.000,Pengembangan
670,Saham_670,12.691.682.390,Pengembangan
671,Saham_671,1.575.000.000,Pengembangan
672,Saham_672,1.435.185.100,Pengembangan
673,Saham_673,2.162.547.122,Pemantauan Khusus
674,Saham_674,896.709.596,Akselerasi
675,Saham_675,1.500.000.000,Pemantauan Khusus
676,Saham_676,1.250.000.000,Pengembangan
677,Saham_677,6.708.000.000,Utama
678,Saham_678,2.588.300.000,Pemantauan Khusus
679,Saham_679,14.793.174.908,Pengembangan
680,Saham_680,12.941.176.500,Pemantauan Khusus
681,Saham_681,2.020.250.000,Pengembangan
682,Saham_682,3.138.983.000,Utama
683,Saham_683,45.000.000.000,Pemantauan Khusus
684,Saham_684,450.000.000,Pengembangan
685,Saham_685,1.333.334.556,Pengembangan
686,Saham_686,1.307.734.937,Akselerasi
687,Saham_687,400.000.975,Pemantauan Khusus
688,Saham_688,19.852.540.000,Utama
689,Saham_689,3.240.235.840,Pengembangan
690,Saham_690,1.514.773.893,Akselerasi
691,Saham_691,22.222.222.200,Pengembangan
692,Saham_692,2.130.360.203,Pengembangan
693,Saham_693,1.904.883.411,Akselerasi
694,Saham_694,7.571.107.860,Pengembangan
695,Saham_695,1.103.402.553,Pengembangan
696,Saham_696,25.235.000.000,Pengembangan
697,Saham_697,949.868.500,Akselerasi
698,Saham_698,1.387.737.233,Pengembangan
699,Saham_699,8.603.416.176,Utama
700,Saham_700,781.250.000,Akselerasi
701,Saham_701,10.635.644.907,Pengembangan
702,Saham_702,2.000.144.838,Pengembangan
703,Saham_703,103.148.706.067,Ekonomi Baru
704,Saham_704,2.626.250.000,Pengembangan
705,Saham_705,454.056.563,Pengembangan
706,Saham_706,666.741.103,Pengembangan
707,Saham_707,3.555.560.000,Utama
708,Saham_708,929.675.000,Pemantauan Khusus
709,Saham_709,983.557.875,Akselerasi
710,Saham_710,929.926.282,Pengembangan
711,Saham_711,17.125.504.000,Pengembangan
712,Saham_712,15.819.142.767,Utama
713,Saham_713,1.062.437.500,Akselerasi
714,Saham_714,1.292.808.150,Pengembangan
715,Saham_715,1.155.750.000,Pengembangan
716,Saham_716,83.559.677.444,Utama
717,Saham_717,6.790.000.000,Pengembangan
718,Saham_718,2.275.316.111,Pengembangan
719,Saham_719,7.934.683.000,Utama
720,Saham_720,1.042.500.000,Akselerasi
721,Saham_721,1.098.920.000,Pengembangan
722,Saham_722,29.419.000.000,Pemantauan Khusus
723,Saham_723,4.375.000.000,Utama
724,Saham_724,805.992.931,Pengembangan
725,Saham_725,61.953.555.600,Utama
726,Saham_726,4.600.000.000,Pemantauan Khusus
727,Saham_727,807.400.000,Pengembangan
728,Saham_728,1.850.225.000,Pengembangan
729,Saham_729,4.705.882.300,Utama
730,Saham_730,40.882.331.500,Utama
731,Saham_731,1.347.258.842,Pengembangan
732,Saham_732,12.746.354.780,Pengembangan
733,Saham_733,41.360.517.722,Pengembangan
734,Saham_734,4.800.182.969,Pemantauan Khusus
735,Saham_735,2.166.666.800,Pengembangan
736,Saham_736,2.700.064.877,Pengembangan
737,Saham_737,1.253.000.000,Akselerasi
738,Saham_738,10.903.372.600,Utama
739,Saham_739,4.285.440.269,Akselerasi
740,Saham_740,1.293.916.404,Pengembangan
741,Saham_741,11.938.622.394,Pengembangan
742,Saham_742,910.077.764,Pengembangan
743,Saham_743,1.140.573.267.220,Ekonomi Baru
744,Saham_744,12.946.530.200,Pengembangan
745,Saham_745,2.068.526.950,Utama
746,Saham_746,5.235.316.030,Pemantauan Khusus
747,Saham_747,8.065.789.529,Akselerasi
748,Saham_748,1.900.073.314,Akselerasi
749,Saham_749,5.000.000.000,Pengembangan
750,Saham_750,5.385.019.201,Pengembangan
751,Saham_751,7.945.412.700,Utama
752,Saham_752,2.928.495.000,Pengembangan
753,Saham_753,1.700.014.594,Pengembangan
754,Saham_754,2.000.000.000,Pengembangan
755,Saham_755,5.840.126.500,Pengembangan
756,Saham_756,1.663.943.474,Pengembangan
757,Saham_757,8.680.000.000,Utama
758,Saham_758,787.500.000,Akselerasi
759,Saham_759,1.070.362.500,Pengembangan
760,Saham_760,9.230.665.050,Utama
761,Saham_761,1.235.296.802,Akselerasi
762,Saham_762,3.128.140.475,Pemantauan Khusus
763,Saham_763,1.500.000.000,Pemantauan Khusus
764,Saham_764,7.412.000.000,Pemantauan Khusus
765,Saham_765,2.548.826.428,Pemantauan Khusus
766,Saham_766,1.307.530.330,Akselerasi
767,Saham_767,2.050.020.320,Pengembangan
768,Saham_768,2.000.000.000,Pengembangan
769,Saham_769,1.950.000.000,Pengembangan
770,Saham_770,1.562.500.000,Pengembangan
771,Saham_771,6.250.000.000,Pengembangan
772,Saham_772,13.959.422.300,Pengembangan
773,Saham_773,3.125.000.000,Pengembangan
774,Saham_774,135.842.883.189,Ekonomi Baru
775,Saham_775,12.060.428.584,Utama
776,Saham_776,27.058.850.000,Utama
777,Saham_777,25.091.882.375,Pengembangan
778,Saham_778,3.061.341.438,Pengembangan
779,Saham_779,1.250.023.298,Pengembangan
780,Saham_780,8.496.000.000,Pengembangan
781,Saham_781,2.157.000.000,Akselerasi
782,Saham_782,4.800.425.380,Pengembangan
783,Saham_783,3.150.000.000,Pengembangan
784,Saham_784,4.020.338.890,Akselerasi
785,Saham_785,6.265.193.445,Pengembangan
786,Saham_786,1.082.526.223,Akselerasi
787,Saham_787,2.031.643.057,Pengembangan
788,Saham_788,4.000.000.000,Pengembangan
789,Saham_789,1.356.250.000,Pengembangan
790,Saham_790,2.500.000.000,Utama
791,Saham_791,4.538.067.441,Pengembangan
792,Saham_792,2.710.000.000,Pengembangan
793,Saham_793,1.030.080.995,Akselerasi
794,Saham_794,1.765.625.000,Pengembangan
795,Saham_795,2.149.942.974,Pengembangan
796,Saham_796,1.963.000.000,Pengembangan
797,Saham_797,2.550.011.472,Akselerasi
798,Saham_798,6.195.047.377,Pengembangan
799,Saham_799,14.110.256.623,Akselerasi
800,Saham_800,3.055.737.049,Pengembangan
801,Saham_801,806.000.000,Akselerasi
802,Saham_802,6.078.729.117,Pengembangan
803,Saham_803,2.602.852.170,Akselerasi
804,Saham_804,41.815.763.396,Utama
805,Saham_805,6.635.551.959,Pengembangan
806,Saham_806,14.741.500.000,Pemantauan Khusus
807,Saham_807,4.725.101.522,Utama
808,Saham_808,3.169.200.000,Pengembangan
809,Saham_809,8.033.527.260,Pemantauan Khusus
810,Saham_810,2.951.328.448,Pengembangan
811,Saham_811,112.418.900.000,Utama
812,Saham_812,23.801.568.645,Pengembangan
813,Saham_813,1.894.375.000,Pengembangan
814,Saham_814,2.468.314.616,Akselerasi
815,Saham_815,3.262.520.106,Pengembangan
816,Saham_816,3.480.581.727,Pengembangan
817,Saham_817,2.000.014.587,Pengembangan
818,Saham_818,8.751.668.239,Utama
819,Saham_819,3.644.415.975,Pengembangan
820,Saham_820,9.610.099.981,Pengembangan
821,Saham_821,43.750.000.000,Pengembangan
822,Saham_822,5.727.832.195,Akselerasi
823,Saham_823,72.518.217.656,Utama
824,Saham_824,2.892.000.000,Pengembangan
825,Saham_825,1.547.184.978,Akselerasi
826,Saham_826,1.600.031.683,Akselerasi
827,Saham_827,3.571.451.815,Pemantauan Khusus
828,Saham_828,22.374.111.088,Pengembangan
829,Saham_829,16.666.000.000,Utama
830,Saham_830,1.250.000.000,Pengembangan
831,Saham_831,83.345.000.000,Pengembangan
832,Saham_832,4.091.357.544,Pengembangan
833,Saham_833,1.040.740.800,Akselerasi
834,Saham_834,7.375.720.674,Pengembangan
835,Saham_835,1.075.027.288,Pengembangan
836,Saham_836,5.187.500.000,Utama
837,Saham_837,6.710.949.429,Pengembangan
838,Saham_838,3.142.950.585,Pengembangan
839,Saham_839,650.008.775,Akselerasi
840,Saham_840,18.062.480.011,Pengembangan
841,Saham_841,1.460.007.754,Akselerasi
842,Saham_842,2.650.000.000,Pengembangan
843,Saham_843,2.616.226.706,Pengembangan
844,Saham_844,1.006.080.721,Akselerasi
845,Saham_845,5.290.298.067,Pengembangan
846,Saham_846,4.465.269.038,Pengembangan
847,Saham_847,2.167.514.856,Pengembangan
848,Saham_848,133.786.220.000,Utama
849,Saham_849,10.721.835.562,Pengembangan
850,Saham_850,2.861.333.000,Pengembangan
851,Saham_851,1.100.011.289,Akselerasi
852,Saham_852,1.750.040.072,Akselerasi
853,Saham_853,1.459.234.110,Pengembangan
854,Saham_854,3.139.416.200,Utama
855,Saham_855,1.684.662.500,Pengembangan
856,Saham_856,4.000.000.000,Pengembangan
857,Saham_857,6.334.375.000,Pengembangan
858,Saham_858,6.250.000.000,Pengembangan
859,Saham_859,1.000.000.000,Pengembangan
860,Saham_860,8.750.000.000,Pengembangan
861,Saham_861,6.666.666.700,Pengembangan
862,Saham_862,4.375.277.300,Pengembangan
863,Saham_863,1.562.574.308,Pengembangan
864,Saham_864,15.825.800.000,Utama
865,Saham_865,3.250.000.000,Pengembangan
866,Saham_866,2.235.502.042,Akselerasi
867,Saham_867,4.593.005.014,Pengembangan
868,Saham_868,2.525.000.000,Pengembangan
869,Saham_869,1.127.497.572,Pengembangan
870,Saham_870,3.075.000.000,Pengembangan
871,Saham_871,2.539.601.000,Pengembangan
872,Saham_872,3.750.000.000,Pengembangan
873,Saham_873,6.199.577.693,Pengembangan
874,Saham_874,1.375.000.000,Pengembangan
875,Saham_875,3.287.375.000,Pengembangan
876,Saham_876,3.025.037.353,Pengembangan
877,Saham_877,800.000.000,Akselerasi
878,Saham_878,2.751.991.249,Pengembangan
879,Saham_879,19.486.760.000,Utama
880,Saham_880,1.390.013.370,Pengembangan
881,Saham_881,8.890.206.400,Pengembangan
882,Saham_882,2.500.000.000,Pengembangan
883,Saham_883,3.950.000.000,Pengembangan
884,Saham_884,1.725.000.000,Pengembangan
885,Saham_885,4.112.500.000,Pengembangan
886,Saham_886,1.907.000.000,Pemantauan Khusus
887,Saham_887,4.765.648.183,Pengembangan
888,Saham_888,1.997.000.000,Utama
889,Saham_889,3.501.680.000,Pengembangan
890,Saham_890,3.327.390.877,Pengembangan
891,Saham_891,7.786.891.760,Utama
892,Saham_892,25.190.392.000,Utama
893,Saham_893,2.137.831.800,Pengembangan
894,Saham_894,2.715.053.800,Pengembangan
895,Saham_895,3.424.687.500,Pengembangan
896,Saham_896,6.500.000.000,Pengembangan
897,Saham_897,994.603.036,Pengembangan
898,Saham_898,5.882.353.000,Utama
899,Saham_899,5.668.944.500,Utama
900,Saham_900,680.376.575,Pengembangan
901,Saham_901,4.084.435.300,Utama
902,Saham_902,2.712.000.000,Pengembangan
903,Saham_903,1.482.353.000,Utama
904,Saham_904,14.705.882.400,Pengembangan
905,Saham_905,124.829.374.700,Pengembangan
906,Saham_906,3.379.487.200,Utama
907,Saham_907,1.035.132.500,Pengembangan
908,Saham_908,4.113.331.485,Pengembangan
909,Saham_909,5.800.000.000,Pengembangan
910,Saham_910,16.180.232.675,Pengembangan
911,Saham_911,1.920.000.000,Pengembangan
912,Saham_912,3.125.000.000,Pengembangan
913,Saham_913,33.558.047.450,Pengembangan
914,Saham_914,2.075.800.000,Pengembangan
915,Saham_915,8.544.488.700,Utama
916,Saham_916,8.918.359.270,Pengembangan
917,Saham_917,14.012.825.000,Utama
918,Saham_918,2.550.140.892,Pengembangan
919,Saham_919,853.423.236,Pengembangan
920,Saham_920,7.431.530.800,Pengembangan
921,Saham_921,681.823.317,Pengembangan
922,Saham_922,2.425.354.179,Pengembangan
923,Saham_923,3.440.455.528,Pengembangan
924,Saham_924,3.873.500.000,Pengembangan
925,Saham_925,33.250.000.000,Pengembangan
926,Saham_926,3.426.097.190,Pengembangan
927,Saham_927,63.098.600.000,Utama
928,Saham_928,1.434.052.006,Akselerasi
929,Saham_929,3.435.000.000,Pengembangan
930,Saham_930,107.995.419.900,Utama
931,Saham_931,6.813.620.000,Utama
932,Saham_932,7.738.891.036,Pengembangan
933,Saham_933,1.771.499.039,Pengembangan
934,Saham_934,6.082.020.000,Pengembangan
935,Saham_935,5.882.352.900,Pengembangan
936,Saham_936,2.328.153.048,Pengembangan
937,Saham_937,3.469.345.537,Pengembangan
938,Saham_938,3.812.569.941,Akselerasi
939,Saham_939,5.308.549.015,Pengembangan
940,Saham_940,3.629.411.800,Pengembangan
941,Saham_941,2.383.745.900,Pengembangan
942,Saham_942,2.841.262.838,Pengembangan
943,Saham_943,1.250.000.000,Pengembangan
944,Saham_944,2.898.261.693,Pengembangan
945,Saham_945,1.235.803.109,Pengembangan
946,Saham_946,3.889.179.559,Pengembangan
947,Saham_947,29.389.689.400,Utama
948,Saham_948,3.066.660.000,Pengembangan
949,Saham_949,24.493.093.216,Utama
950,Saham_950,47.367.057.874,Pengembangan
951,Saham_951,4.900.000.000,Pengembangan
952,Saham_952,220.000.000,Pengembangan
953,Saham_953,797.813.496,Pengembangan
954,Saham_954,2.495.753.334,Pemantauan Khusus
955,Saham_955,2.341.366.264,Pemantauan Khusus
956,Saham_956,61.675.671.883,Pemantauan Khusus
